Customer_ID,Product_ID,Purchase_Frequency,Average_Order_Value,Most_Frequent_Category,Region,,,,,,
CUST_G8HU0Y,PROD_67CKAZ,13,169.44,Electronics,South America,,,,,,
CUST_2KHJ4Y,PROD_0VHFS7,1,138.29,Electronics,Asia,,,,,,
CUST_OL6Z6A,PROD_SMVS94,12,101.33,Sports,North America,,,,,,
CUST_80XT8K,PROD_85FXS1,2,51.68,Clothing,South America,,,,,,
CUST_MSNQX0,PROD_SFPDI5,14,48.23,Home,South America,,,,,,
CUST_4XM4T8,PROD_AYJHII,19,58.92,Sports,South America,,,,,,
CUST_NMIM67,PROD_QRJOQQ,5,37.72,Sports,Asia,,,,,,
CUST_G3CBW1,PROD_4XTTVE,2,61.25,Electronics,North America,,,,,,
CUST_LMWRL7,PROD_JSTXXZ,9,46.48,Clothing,North America,,,,,,
CUST_BP1CZW,PROD_38AOV5,19,23.99,Sports,South America,,,,,,
CUST_V6TG3I,PROD_IS1C0S,4,182.98,Clothing,Europe,,,,,,
CUST_PBDQSR,PROD_0SQDEQ,5,99.78,Home,North America,,,,,,
CUST_4D8TQ7,PROD_9Y47SE,2,144.04,Electronics,Europe,,,,,,
CUST_PE88A7,PROD_IGQ04T,16,147.99,Home,Asia,,,,,,
CUST_FQDNFA,PROD_RA21TR,6,43.79,Electronics,North America,,,,,,
CUST_5LNW0H,PROD_KK674F,9,140.74,Electronics,Europe,,,,,,
CUST_5YEMJD,PROD_BQZPQW,10,168.79,Sports,Asia,,,,,,
CUST_QU7QVL,PROD_LMZ8FO,4,180.07,Clothing,Europe,,,,,,
CUST_29DO3Z,PROD_G9QAZF,3,151.9,Home,Europe,,,,,,
CUST_L6Y0LJ,PROD_QSBLCY,13,54.2,Clothing,North America,,,,,,
CUST_3CJ2R1,PROD_NV7ANP,4,70.04,Sports,Asia,,,,,,
CUST_TWR7Q9,PROD_MKX3U2,11,79.79,Electronics,South America,,,,,,
CUST_BT8F7N,PROD_VP1C85,7,141.62,Home,Asia,,,,,,
CUST_44WU3H,PROD_DLW1HT,17,25.67,Electronics,North America,,,,,,
CUST_9CCEOL,PROD_V7YPR0,8,121.15,Home,North America,,,,,,
CUST_5CMJNC,PROD_REQDDN,5,159.29,Clothing,North America,,,,,,
CUST_RIOS1B,PROD_7M7FN6,7,143.17,Electronics,North America,,,,,,
CUST_UHM0W0,PROD_I8BK7H,18,112.91,Sports,South America,,,,,,
CUST_XYCV8A,PROD_GEO4BY,2,87.07,Sports,Europe,,,,,,
CUST_1XBJ9U,PROD_ZDFDHP,16,90.59,Electronics,South America,,,,,,
CUST_SG4B8W,PROD_HGV6XV,16,155.46,Electronics,Asia,,,,,,
CUST_YNB5QL,PROD_QKQZCD,1,29.43,Clothing,North America,,,,,,
CUST_UL763Z,PROD_APLSZ5,11,187.02,Home,North America,,,,,,
CUST_PLP8HF,PROD_06OMWE,8,193.61,Clothing,North America,,,,,,
CUST_RB6RRC,PROD_FZPBJ0,1,165.46,Clothing,North America,,,,,,
CUST_E8RVBQ,PROD_Q33F7S,5,141.7,Clothing,North America,,,,,,
CUST_BY0GMM,PROD_W0BL0N,9,76.18,Clothing,Asia,,,,,,
CUST_A2HM1J,PROD_LPYYDT,11,105.41,Clothing,Europe,,,,,,
CUST_8G18L2,PROD_AYH2IY,12,195.98,Clothing,North America,,,,,,
CUST_G141RX,PROD_57UL5X,13,40.69,Electronics,Asia,,,,,,
CUST_VZC5ZH,PROD_7PA2MO,8,168.99,Electronics,Europe,,,,,,
CUST_FSDTLK,PROD_B4YT9N,7,52.13,Electronics,North America,,,,,,
CUST_JPDA4D,PROD_C2Y1TF,12,121.6,Electronics,South America,,,,,,
CUST_H4OVTS,PROD_VCTO6F,17,39.01,Sports,Europe,,,,,,
CUST_Q19TO6,PROD_2WKC14,13,161.93,Clothing,South America,,,,,,
CUST_QH5U2G,PROD_XISEVK,10,69.27,Home,Asia,,,,,,
CUST_REKKSM,PROD_60BHU4,5,78.06,Clothing,Asia,,,,,,
CUST_12P5SP,PROD_9HDA2G,4,37.09,Sports,Europe,,,,,,
CUST_934TJ6,PROD_ZNVVA4,10,105.61,Clothing,Asia,,,,,,
CUST_FJPJ16,PROD_LIHMIO,13,65.97,Clothing,Asia,,,,,,
CUST_4LYGW1,PROD_CHEZ3Y,10,44.92,Electronics,North America,,,,,,
CUST_SASUTZ,PROD_KDYCI7,13,175.81,Clothing,Europe,,,,,,
CUST_1F6ITR,PROD_6JC3IE,4,48.07,Home,North America,,,,,,
CUST_A8JHLW,PROD_W15OP6,8,82.69,Clothing,Asia,,,,,,
CUST_W8IZWM,PROD_JV3HSP,1,156.04,Electronics,North America,,,,,,
CUST_6P1OQQ,PROD_VE9FAM,8,46,Clothing,Asia,,,,,,
CUST_A6XFY9,PROD_FOM3QG,1,186.54,Sports,South America,,,,,,
CUST_MW3LV2,PROD_BRGWOE,14,157.37,Sports,Asia,,,,,,
CUST_A9PHFE,PROD_W78Y00,16,175.7,Clothing,Asia,,,,,,
CUST_HOB0YK,PROD_OE7XRF,10,138.67,Sports,Europe,,,,,,
CUST_BRRRRU,PROD_VK226H,3,172.19,Electronics,North America,,,,,,
CUST_DA0I76,PROD_FXKWAD,8,30.95,Home,Asia,,,,,,
CUST_7GAVM9,PROD_PUWL9C,11,69.05,Home,North America,,,,,,
CUST_Z6QSTD,PROD_ZKTGY4,5,32.18,Sports,North America,,,,,,
CUST_HXOYK8,PROD_0HPPRU,7,35.98,Home,South America,,,,,,
CUST_VLBL5K,PROD_JQKMA9,10,97.5,Sports,South America,,,,,,
CUST_5T9TN8,PROD_J0NICY,1,120.55,Electronics,Europe,,,,,,
CUST_2WBGJJ,PROD_5RE3HX,19,103.19,Clothing,South America,,,,,,
CUST_I40LLF,PROD_J7IA73,11,61.74,Clothing,North America,,,,,,
CUST_7USGEB,PROD_KYQOGN,10,128.51,Clothing,South America,,,,,,
CUST_ZYJ13O,PROD_ULSC9X,8,72.7,Home,South America,,,,,,
CUST_ZIMOOB,PROD_50ZMSE,13,199.76,Home,South America,,,,,,
CUST_BQQQVX,PROD_91W0VF,2,122.65,Clothing,Asia,,,,,,
CUST_52EO2K,PROD_MSW50K,17,91.92,Sports,Europe,,,,,,
CUST_0H7Z3X,PROD_5N7JDT,8,180.68,Electronics,South America,,,,,,
CUST_QAXZQT,PROD_TJI0KT,6,39.65,Electronics,North America,,,,,,
CUST_ZJT22H,PROD_3I2T16,13,79.7,Clothing,North America,,,,,,
CUST_4RESKZ,PROD_2F8I98,6,128.88,Sports,Europe,,,,,,
CUST_7U3ZEK,PROD_TRJDBV,9,99.62,Electronics,Europe,,,,,,
CUST_S6QIFA,PROD_PSYN74,13,128.57,Sports,Europe,,,,,,
CUST_Z2QK0K,PROD_4UZA62,3,73.03,Electronics,North America,,,,,,
CUST_11IJ74,PROD_IU4XOE,11,101.47,Electronics,Europe,,,,,,
CUST_ZM1Y63,PROD_1AQQBV,16,162.83,Home,North America,,,,,,
CUST_2V0EZT,PROD_1TF70I,11,117.22,Electronics,North America,,,,,,
CUST_1YC4YV,PROD_HECA62,3,79.85,Home,Asia,,,,,,
CUST_E2YRB5,PROD_KM8KUD,12,191.24,Clothing,South America,,,,,,
CUST_H4DM4P,PROD_C5Z26S,5,189.2,Clothing,North America,,,,,,
CUST_EGCZS5,PROD_Q1F10S,3,83.92,Electronics,Europe,,,,,,
CUST_P2B7RK,PROD_3ZMZA9,6,125.79,Home,Europe,,,,,,
CUST_2MCHA9,PROD_0DXZ79,19,62.65,Sports,Asia,,,,,,
CUST_FGBXDV,PROD_WKFQJ3,4,45.21,Electronics,South America,,,,,,
CUST_U3CUD6,PROD_9R98KN,5,68.41,Sports,Europe,,,,,,
CUST_QCUD86,PROD_1SNBVE,8,63.84,Electronics,Europe,,,,,,
CUST_VP4IIN,PROD_IT717Q,4,194.85,Sports,North America,,,,,,
CUST_9EBJL3,PROD_QYT7SW,12,151.04,Sports,Europe,,,,,,
CUST_TBJH1N,PROD_8VAQY0,1,123.76,Electronics,South America,,,,,,
CUST_0CB73G,PROD_WPIL5B,7,188.85,Home,North America,,,,,,
CUST_DCB05J,PROD_EQJEIX,13,26.16,Electronics,Asia,,,,,,
CUST_F2V19Q,PROD_SY44GQ,2,59.18,Electronics,North America,,,,,,
CUST_7WS7QT,PROD_9HJUMB,6,63.15,Electronics,Europe,,,,,,
CUST_EYA1WF,PROD_6VYL5Q,11,103.72,Home,Europe,,,,,,
CUST_85N1LQ,PROD_PMDE3S,13,49.79,Clothing,North America,,,,,,
CUST_HBN26L,PROD_Y756B1,16,137.38,Sports,South America,,,,,,
CUST_7DL54F,PROD_JGLZ0G,13,32.26,Electronics,Europe,,,,,,
CUST_UUECOU,PROD_IKB9GQ,16,150.47,Home,North America,,,,,,
CUST_D3OZEV,PROD_OHZRVC,19,88.07,Home,South America,,,,,,
CUST_3OW1VU,PROD_PS5AGZ,10,91.25,Electronics,South America,,,,,,
CUST_W2GG22,PROD_3AAY9T,2,156.92,Electronics,South America,,,,,,
CUST_9JYH3O,PROD_WLJHEY,2,22.38,Sports,Asia,,,,,,
CUST_UJJ5AB,PROD_Q0JNGA,5,28.7,Home,Asia,,,,,,
CUST_HGIUYL,PROD_ZC2DS8,18,80.6,Home,Europe,,,,,,
CUST_DLK1QI,PROD_7IOKLW,8,137.58,Electronics,South America,,,,,,
CUST_P50GJC,PROD_U6X54G,12,117.9,Clothing,North America,,,,,,
CUST_MQVQQP,PROD_6A65WZ,8,189.13,Clothing,Asia,,,,,,
CUST_G2QS02,PROD_7IPDZP,1,90.67,Electronics,South America,,,,,,
CUST_4AARW5,PROD_H1YD38,10,159.94,Clothing,Europe,,,,,,
CUST_0UZG1E,PROD_MH6MNK,13,53.38,Electronics,Asia,,,,,,
CUST_3AUFK5,PROD_Y9QX6S,7,132.58,Electronics,Asia,,,,,,
CUST_YS4VJ7,PROD_ZX8QQU,12,62.46,Sports,South America,,,,,,
CUST_HCJJXE,PROD_BV7IGR,3,119.26,Electronics,Europe,,,,,,
CUST_CMZMO3,PROD_0XJ9VA,2,133.08,Clothing,Europe,,,,,,
CUST_LMBIH0,PROD_X1ZZ9B,13,162.93,Electronics,South America,,,,,,
CUST_OO4P5H,PROD_N32456,8,102.77,Clothing,Asia,,,,,,
CUST_VZTSAO,PROD_1QKG57,1,57.7,Electronics,Asia,,,,,,
CUST_PLF51R,PROD_NQDWK1,2,105.71,Clothing,Europe,,,,,,
CUST_THMDAK,PROD_PMXIA1,12,194.26,Clothing,Europe,,,,,,
CUST_DR9L6G,PROD_U5CZ8J,8,92.65,Electronics,Europe,,,,,,
CUST_AXFVPG,PROD_SH4W7P,4,187.29,Home,Europe,,,,,,
CUST_ERZKTJ,PROD_TZM4BQ,8,68.7,Home,Asia,,,,,,
CUST_C4UFOO,PROD_FYTQVJ,16,87.85,Electronics,Asia,,,,,,
CUST_2ONHSS,PROD_FIJBE1,12,40.7,Home,Asia,,,,,,
CUST_4DG1SV,PROD_166XGO,13,86.01,Electronics,Asia,,,,,,
CUST_8RJ2UJ,PROD_W9GBJF,6,46.6,Sports,South America,,,,,,
CUST_X4L864,PROD_5FLVPY,11,37.97,Sports,South America,,,,,,
CUST_L5137D,PROD_WJ48PQ,14,117.1,Sports,Europe,,,,,,
CUST_A8R4U9,PROD_ARYSJ9,6,167.11,Home,Asia,,,,,,
CUST_I9LOHF,PROD_QTXSAU,10,41.52,Sports,Asia,,,,,,
CUST_PNARK0,PROD_MUAABD,18,57.27,Electronics,South America,,,,,,
CUST_ETNPOR,PROD_F2MZDX,8,90.22,Home,Asia,,,,,,
CUST_P3FKPA,PROD_VMZMY9,16,27.88,Electronics,Europe,,,,,,
CUST_4RS6HS,PROD_1E5WHF,9,52.03,Electronics,Europe,,,,,,
CUST_OAXA2N,PROD_3Y6MMT,8,172.88,Electronics,North America,,,,,,
CUST_F58QRC,PROD_MT2OAN,3,21,Sports,Asia,,,,,,
CUST_NEROOC,PROD_MQL2WG,2,93.22,Electronics,North America,,,,,,
CUST_I32763,PROD_7VETJ7,5,62.98,Electronics,Europe,,,,,,
CUST_A1QNX1,PROD_BT59CF,15,71.55,Sports,Europe,,,,,,
CUST_R73TA0,PROD_9CZPD4,14,116.74,Sports,Asia,,,,,,
CUST_CHXLKZ,PROD_1C3NZA,13,80.91,Clothing,North America,,,,,,
CUST_Y3G8FH,PROD_2ZP1QW,8,159.94,Sports,Europe,,,,,,
CUST_7I1KVL,PROD_3PJ5NN,13,186.9,Home,South America,,,,,,
CUST_LG02EX,PROD_HBWVLV,9,191.5,Sports,South America,,,,,,
CUST_AD2D3A,PROD_43XQB5,6,81.76,Home,South America,,,,,,
CUST_QHV233,PROD_ZOXTQ8,18,186.58,Electronics,North America,,,,,,
CUST_AC60O5,PROD_UZAIFS,4,90.36,Clothing,South America,,,,,,
CUST_SUZMBI,PROD_PZJL3X,12,132.24,Sports,North America,,,,,,
CUST_8631Y9,PROD_3DKRIM,1,96.67,Home,South America,,,,,,
CUST_P43D45,PROD_X7ZH8Y,12,123.65,Clothing,Asia,,,,,,
CUST_A8D38V,PROD_VEDZB9,9,76.58,Electronics,South America,,,,,,
CUST_GAIDRM,PROD_Y0PGNI,4,122.27,Home,South America,,,,,,
CUST_7IUYYY,PROD_OMKM2F,4,62.11,Home,South America,,,,,,
CUST_1KN2A8,PROD_0BMUSA,5,179.11,Home,South America,,,,,,
CUST_GG7RC6,PROD_P6E5V6,15,125.74,Electronics,South America,,,,,,
CUST_W3D7AU,PROD_M70MFR,17,163,Clothing,Europe,,,,,,
CUST_FNGS8H,PROD_RK2GH5,12,86.68,Electronics,Asia,,,,,,
CUST_3USKKH,PROD_2QZ1DL,7,119.85,Clothing,Europe,,,,,,
CUST_LQSSAP,PROD_BF448S,4,116.14,Electronics,Asia,,,,,,
CUST_UZBGZM,PROD_0LNZQ1,8,53.15,Electronics,Europe,,,,,,
CUST_MENASY,PROD_ZF41CG,10,169.33,Home,Asia,,,,,,
CUST_B9TQ73,PROD_HJLHPP,2,129.63,Clothing,South America,,,,,,
CUST_HMS7NA,PROD_CI4QH4,2,49.61,Home,North America,,,,,,
CUST_DJ3OOX,PROD_VNZ02U,17,44.43,Electronics,South America,,,,,,
CUST_DEPZGJ,PROD_6RZY2M,11,191.73,Electronics,North America,,,,,,
CUST_57JXF3,PROD_2WP619,5,182.9,Electronics,North America,,,,,,
CUST_S9BHPD,PROD_658BOT,13,198.96,Electronics,North America,,,,,,
CUST_EMDJBW,PROD_YYE7H8,6,74.25,Sports,South America,,,,,,
CUST_WT60W2,PROD_79OT3Q,10,119.55,Sports,Europe,,,,,,
CUST_P5J7SU,PROD_269B77,7,90.09,Clothing,North America,,,,,,
CUST_SJTJX3,PROD_CXKOJF,18,51.33,Sports,Europe,,,,,,
CUST_HOBAHX,PROD_2PRHB2,4,39.82,Home,Europe,,,,,,
CUST_VV0YS6,PROD_TMMTQZ,3,190.25,Clothing,North America,,,,,,
CUST_5CZ6NA,PROD_88PYZ7,15,29.31,Clothing,Europe,,,,,,
CUST_EL7O0W,PROD_U31S9S,15,70.72,Electronics,Europe,,,,,,
CUST_EDUCQO,PROD_EHWN6H,8,180.93,Sports,Asia,,,,,,
CUST_LIEEO1,PROD_MO05GS,5,24.26,Electronics,Europe,,,,,,
CUST_YDWNXE,PROD_S4W0QT,1,165.58,Sports,Asia,,,,,,
CUST_XYICEF,PROD_TOC2WT,7,45.56,Sports,Europe,,,,,,
CUST_2HCWYF,PROD_JU4SQ4,19,138.09,Electronics,North America,,,,,,
CUST_PREA2U,PROD_K6QYO8,12,150.56,Home,Europe,,,,,,
CUST_N6E2GD,PROD_213F1X,10,118.71,Electronics,South America,,,,,,
CUST_E8OER3,PROD_HQFVDU,6,112.09,Clothing,South America,,,,,,
CUST_Y95FNF,PROD_YP9SZ3,4,67.75,Clothing,South America,,,,,,
CUST_7XKEIS,PROD_R03D98,16,158.61,Sports,South America,,,,,,
CUST_S04624,PROD_X8843V,3,145.12,Clothing,South America,,,,,,
CUST_4HNBXP,PROD_BGXYOH,17,97.81,Home,Europe,,,,,,
CUST_QP0EZS,PROD_I7M8AB,16,139.79,Electronics,South America,,,,,,
CUST_U1KVT8,PROD_1CFMUP,14,186.48,Home,North America,,,,,,
CUST_2L0EV4,PROD_NY2475,13,141.02,Home,Europe,,,,,,
CUST_MMFK6X,PROD_RIANBU,1,45.55,Home,North America,,,,,,
CUST_OV9EGX,PROD_0GCKL0,5,25.01,Clothing,North America,,,,,,
CUST_4XNH15,PROD_ZAEMFW,3,193.74,Electronics,North America,,,,,,
CUST_HGC6UD,PROD_KA7Q59,4,152.55,Sports,South America,,,,,,
CUST_3LNJ4E,PROD_J5LP86,18,126.05,Home,South America,,,,,,
CUST_3LSGSP,PROD_6FOXV4,12,177.06,Sports,North America,,,,,,
CUST_TW4F0U,PROD_ICPSN4,17,137.8,Home,North America,,,,,,
CUST_R7HYAW,PROD_COVSM2,11,186.96,Sports,South America,,,,,,
CUST_AXATBL,PROD_KA63AA,9,119.78,Electronics,North America,,,,,,
CUST_QJ4418,PROD_XH5IM7,13,106.56,Sports,Asia,,,,,,
CUST_9M2R96,PROD_BSZQJJ,10,26.4,Electronics,Europe,,,,,,
CUST_1I0MKG,PROD_TS1X2B,7,172.83,Sports,Asia,,,,,,
CUST_KI4WD8,PROD_8XD1ZZ,7,161.21,Sports,Asia,,,,,,
CUST_JOE853,PROD_KEMB1P,5,168.1,Sports,Asia,,,,,,
CUST_RY3QPC,PROD_JMWJGW,17,116.72,Sports,South America,,,,,,
CUST_JCWF3E,PROD_O77A3Y,12,127.37,Sports,North America,,,,,,
CUST_RS16ZL,PROD_8ON19R,10,144.06,Home,South America,,,,,,
CUST_KKT56X,PROD_DOXT9Z,13,64.74,Sports,South America,,,,,,
CUST_N9NLPB,PROD_L7Z1FP,11,190.21,Sports,South America,,,,,,
CUST_8EE5OK,PROD_LD1ODK,8,37.09,Home,Europe,,,,,,
CUST_CP9S2B,PROD_9H2LJB,13,180.43,Clothing,Asia,,,,,,
CUST_MJGWUH,PROD_NEH3IH,6,89.46,Home,South America,,,,,,
CUST_IQQ5A0,PROD_CJ351J,3,107.6,Electronics,Europe,,,,,,
CUST_HQ89PU,PROD_P2ATWM,15,41.12,Sports,Asia,,,,,,
CUST_3B9PJ4,PROD_05KDT1,17,45.9,Home,Asia,,,,,,
CUST_020NQX,PROD_OQ2TD9,18,46.53,Electronics,South America,,,,,,
CUST_1UXOIT,PROD_RRXW8G,19,198.63,Home,Europe,,,,,,
CUST_JYFOYJ,PROD_Q49NZQ,5,157.99,Clothing,South America,,,,,,
CUST_XV2OOT,PROD_ATL6CV,6,120.54,Clothing,North America,,,,,,
CUST_V3VD8T,PROD_W72QCE,3,119.06,Clothing,Asia,,,,,,
CUST_O3CBJO,PROD_7HBTUP,13,114.16,Home,South America,,,,,,
CUST_M40O01,PROD_60T1V2,7,192.96,Home,South America,,,,,,
CUST_GMY9V2,PROD_VGBNZG,1,48.12,Sports,North America,,,,,,
CUST_7XRE5C,PROD_8Z8L86,9,88.54,Clothing,Asia,,,,,,
CUST_XRS1IN,PROD_9F9EIL,12,138.28,Sports,Europe,,,,,,
CUST_MOSOGJ,PROD_YQRQAZ,16,177.63,Clothing,North America,,,,,,
CUST_UETE7J,PROD_RHA5QT,19,49.78,Clothing,South America,,,,,,
CUST_JF8LX6,PROD_LCRVM9,11,108.78,Electronics,North America,,,,,,
CUST_D634AD,PROD_XP49JN,6,133.23,Sports,South America,,,,,,
CUST_LOXMXC,PROD_WFP5XT,18,169.53,Electronics,South America,,,,,,
CUST_NZJ8I1,PROD_K7BRSM,11,61.78,Clothing,Europe,,,,,,
CUST_WHYCT9,PROD_YDWK2H,5,40.06,Home,Europe,,,,,,
CUST_DVK54A,PROD_D2X1HD,6,194.16,Home,Europe,,,,,,
CUST_5LSR7E,PROD_2X69I0,13,80.51,Electronics,North America,,,,,,
CUST_QBQF1P,PROD_UXE60R,7,97.37,Sports,Europe,,,,,,
CUST_KSNIL6,PROD_4PRRZJ,3,195.3,Sports,Asia,,,,,,
CUST_Q0WHAG,PROD_L26JP0,10,129.85,Sports,Europe,,,,,,
CUST_M702RV,PROD_1YQZ8O,14,45.06,Sports,Asia,,,,,,
CUST_NLEP83,PROD_XV3PS1,16,83.21,Clothing,North America,,,,,,
CUST_WZI1TV,PROD_W9ZTO2,3,59.63,Home,North America,,,,,,
CUST_6KA8CY,PROD_6M3H8T,6,75.93,Electronics,Asia,,,,,,
CUST_BGPHO9,PROD_6DA9VE,9,50.08,Electronics,North America,,,,,,
CUST_59NU2J,PROD_TZOXL2,5,76.81,Home,North America,,,,,,
CUST_DI8MAW,PROD_OT15FQ,1,40.04,Home,Asia,,,,,,
CUST_O7YEPN,PROD_ZV762M,11,186.26,Sports,South America,,,,,,
CUST_I94VDI,PROD_MJT9J0,13,105.2,Electronics,Europe,,,,,,
CUST_TQOVPP,PROD_V1V0B6,2,120.58,Clothing,North America,,,,,,
CUST_WZOK8D,PROD_OOR5AR,8,56.53,Home,South America,,,,,,
CUST_87ECSH,PROD_G0L9DS,5,169.7,Electronics,South America,,,,,,
CUST_3HUDDU,PROD_7QP5VZ,4,172.35,Clothing,North America,,,,,,
CUST_611PJ6,PROD_ZR7B57,16,123.47,Clothing,Europe,,,,,,
CUST_GJ7SRO,PROD_LMZZD2,18,137.62,Clothing,North America,,,,,,
CUST_CRNS6Q,PROD_O62T0D,14,174.7,Clothing,Asia,,,,,,
CUST_19E0I2,PROD_SX0VK1,5,179.51,Clothing,Asia,,,,,,
CUST_Q7XXDF,PROD_FRRXP1,11,107.66,Electronics,South America,,,,,,
CUST_F0Q7R4,PROD_FQYFX4,13,138.66,Electronics,South America,,,,,,
CUST_4FRN3I,PROD_OKUAY4,2,32.25,Sports,Asia,,,,,,
CUST_4XXYLZ,PROD_HF1BPU,9,140.2,Sports,South America,,,,,,
CUST_XDLJZS,PROD_Z5O8LD,7,160.14,Home,North America,,,,,,
CUST_KW7TOP,PROD_9YJXM9,6,172.82,Sports,North America,,,,,,
CUST_7DHUA9,PROD_3WJZJQ,16,91.89,Electronics,Europe,,,,,,
CUST_R77KDO,PROD_HTXCA1,5,195.04,Home,Asia,,,,,,
CUST_UXQPHJ,PROD_16GJO1,19,94.5,Electronics,South America,,,,,,
CUST_RWGDH9,PROD_AST8JV,12,64.95,Sports,Asia,,,,,,
CUST_X00RSD,PROD_FBA1VJ,9,85.84,Home,Asia,,,,,,
CUST_I1P12Y,PROD_1BXZ3X,1,180.21,Home,Europe,,,,,,
CUST_2KLMD7,PROD_7NYQDF,9,57.21,Home,North America,,,,,,
CUST_ZHROPM,PROD_IXQ8DH,15,88.15,Sports,Asia,,,,,,
CUST_JS4VEH,PROD_5QU9PB,13,35.26,Sports,Asia,,,,,,
CUST_5N5HSG,PROD_QA6WT2,18,145.36,Sports,North America,,,,,,
CUST_BWP6EV,PROD_T4FWUN,11,155.9,Clothing,Asia,,,,,,
CUST_F7T57R,PROD_HZFA1J,4,127.23,Electronics,North America,,,,,,
CUST_F7Q3S1,PROD_GE2VZ8,15,199.39,Sports,Europe,,,,,,
CUST_B7IMLD,PROD_QD41P1,4,125.76,Electronics,South America,,,,,,
CUST_CFVQ2Y,PROD_WEW3K7,18,168.94,Home,Europe,,,,,,
CUST_6NOQGY,PROD_YXA1RO,19,126.71,Electronics,North America,,,,,,
CUST_R0C1NN,PROD_9JMVXI,17,71.68,Sports,Asia,,,,,,
CUST_K8VU42,PROD_B43EDP,19,198.5,Electronics,North America,,,,,,
CUST_GR0GUR,PROD_2K7M7D,2,119.2,Clothing,South America,,,,,,
CUST_DLUH1W,PROD_CJAQEN,12,72.76,Clothing,Asia,,,,,,
CUST_L1CFTB,PROD_ZIFIUU,3,123.16,Electronics,Asia,,,,,,
CUST_E3LWZI,PROD_DTUGW7,2,184.13,Clothing,South America,,,,,,
CUST_HTAIZ0,PROD_E1887W,15,104.12,Home,Europe,,,,,,
CUST_TXTNSY,PROD_6YV59P,8,104.84,Clothing,South America,,,,,,
CUST_62GG70,PROD_UAU8Q1,2,122.54,Clothing,South America,,,,,,
CUST_EC5OLS,PROD_LVDHOD,1,168.23,Home,Europe,,,,,,
CUST_RMQZO4,PROD_FOIFSQ,5,186.27,Electronics,North America,,,,,,
CUST_GIM0YU,PROD_ERP3ZS,16,32.9,Sports,North America,,,,,,
CUST_KH0YA2,PROD_J9H3EG,18,147.31,Home,Europe,,,,,,
CUST_IW23JV,PROD_XWOPQ6,17,140.72,Electronics,Asia,,,,,,
CUST_SPBM6W,PROD_X3DOYU,8,53.63,Clothing,North America,,,,,,
CUST_04IZH6,PROD_PKDZVZ,13,56.41,Sports,Asia,,,,,,
CUST_MPE2P1,PROD_TX7384,3,190.77,Home,North America,,,,,,
CUST_I4IC0U,PROD_SNTAAM,7,133.58,Electronics,Europe,,,,,,
